05,H,H,H,H,H,H,H,H,H,H
06,H,H,H,H,H,H,H,H,H,H
07,H,H,H,H,H,H,H,H,H,H
08,H,H,H,H,H,H,H,H,H,H
09,H,H,D,D,D,D,H,H,H,H
10,H,D,D,D,D,D,D,D,D,H
11,H,D,D,D,D,D,D,D,D,D
12,H,H,H,S,S,S,H,H,H,H
13,H,S,S,S,S,S,H,H,H,H
14,H,S,S,S,S,S,H,H,H,H
15,H,S,S,S,S,S,H,H,H,H
16,H,S,S,S,S,S,H,H,H,H
17,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
A2,H,H,H,H,D,D,H,H,H,H
A3,H,H,H,H,D,D,H,H,H,H
A4,H,H,H,D,D,D,H,H,H,H
A5,H,H,H,D,D,D,H,H,H,H
A6,H,H,D,D,D,D,H,H,H,H
A7,H,S,D,D,D,D,S,S,H,H
A8,S,S,S,S,S,S,S,S,S,S
A9,S,S,S,S,S,S,S,S,S,S
22,H,P,P,P,P,P,P,H,H,H
33,H,P,P,P,P,P,P,H,H,H
44,H,H,H,H,P,P,H,H,H,H
55,H,D,D,D,D,D,D,D,D,H
66,H,P,P,P,P,P,H,H,H,H
77,H,P,P,P,P,P,P,H,H,H
88,P,P,P,P,P,P,P,P,P,P
99,S,P,P,P,P,P,S,P,P,S
TT,S,S,S,S,S,S,S,S,S,S
AA,P,P,P,P,P,P,P,P,P,P
